Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2102296089,,,,,,
Afghanistan,AFG,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17792244272,,,,,,
Angola,AGO,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54537716377,,,,,,
Albania,ALB,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7992483399,6132283078,5719802789,5903850634,6012377445,6054583061,6500299120,7109207940,7758494310,8192747239,8497419404,9348974754,10296264043,10403504067,10605508298,10779009924,10792358976,10992992156,11414764147,11505271512,11788839133
Andorra,AND,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149903000000,158887000000,162677000000,177935000000,180621000000,203762000000,226138000000,253057000000,197665000000,215229000000,218399000000,211233000000,235939000000,256066000000,228173000000,249071000000
Argentina,ARG,Final consumption expenditure (constant 2010 US$),84824659224,93061660339,90731741378,88142081460,97456144266,105880000000,104731000000,107921000000,112921000000,120088000000,122579000000,128897000000,130802000000,136759000000,146488000000,146458000000,136380000000,139480000000,137931000000,156598000000,166594000000,160623000000,153269000000,159762000000,166407000000,153017000000,167193000000,170112000000,163089000000,153305000000,150868000000,173170000000,196040000000,204954000000,215509000000,207802000000,218163000000,235754000000,243904000000,240737000000,239617000000,227260000000,198101000000,211907000000,229599000000,247405000000,271824000000,296628000000,317191000000,304884000000,336351000000,365527000000,370551000000,384917000000,372169000000,387172000000,382840000000
Armenia,ARM,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4599790604,4938731761,5351762053,5766095358,6290633359,6895971772,7502674733,8440612516,8841804200,8476964498,8803574100,9050475517,9794994968,9932655935,10014491354,9320749920,9428441584
American Samoa,ASM,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,410312416.6,498341302.2,445034921.5,459217353,515947079.3,628917482.4,595173076.3,491494611.1,552625781.6,513990881.8,510567536.3,518881375.5,543333843.7,625005087.5,644078012.7,706187282,698362492.1,701785837.7,759493662.7,735530243.8,805464302.9,818179586.4,881266954.4,882734102.4,989835913.2,1320952507,1236316793,1213331473,925770446.5,980054925.9,996193554.9,1065638565,1083244342,1097915823,1080799095,1085200539
Australia,AUS,Final consumption expenditure (constant 2010 US$),136041000000,139352000000,143163000000,150612000000,160200000000,169294000000,176267000000,185308000000,195952000000,205587000000,218662000000,227757000000,236469000000,246750000000,260234000000,275068000000,281921000000,293833000000,300365000000,306170000000,312139000000,323476000000,338312000000,346600000000,353735000000,362095000000,379214000000,388584000000,401974000000,419271000000,435213000000,442095000000,452788000000,462221000000,471856000000,492197000000,509439000000,523285000000,547855000000,576282000000,598848000000,616341000000,635360000000,660623000000,693109000000,722181000000,744804000000,777501000000,811427000000,821382000000,839078000000,870186000000,895440000000,907098000000,928474000000,952110000000,981614000000
Austria,AUT,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,110876000000,117216000000,123689000000,129506000000,134348000000,138987000000,145191000000,153602000000,151889000000,158697000000,162496000000,164809000000,168507000000,176172000000,173598000000,176571000000,180222000000,183509000000,187619000000,193435000000,200599000000,206612000000,213574000000,215815000000,220739000000,223653000000,229133000000,231594000000,238339000000,244667000000,250189000000,252427000000,254404000000,258343000000,263757000000,269506000000,275999000000,279191000000,283632000000,286704000000,288843000000,291575000000,292760000000,293014000000,293065000000,294700000000,299049000000
Azerbaijan,AZE,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9133024774,6926794152,5376120096,5172973585,5642040547,6412521593,7133765014,8097470334,9744608039,9537799683,10664504123,11644953834,13047051343,15965025770,21991845151,26070109109,29046916307,30857645788,26580416096,32113529324,32820026976,,,,
Burundi,BDI,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1104207475,1189366985,1179864029,1059438263,1086691659,1163344899,1165517462,1250531998,1417662621,1388042731,1581780041,1752935431,1822857633,2021646475,2088761265,2158588056,2240695390,2323399173,2316997979,2350552942
Belgium,BEL,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,153557000000,161391000000,170929000000,183429000000,188897000000,192537000000,201514000000,206602000000,213937000000,223188000000,223205000000,226000000000,229311000000,229511000000,230256000000,236636000000,242037000000,246931000000,252090000000,258836000000,264344000000,272799000000,277687000000,276662000000,282488000000,286885000000,292509000000,296780000000,304121000000,310097000000,319176000000,322404000000,325772000000,328336000000,333496000000,337019000000,341454000000,347839000000,354936000000,357386000000,365133000000,367447000000,370572000000,372589000000,375979000000,379076000000,381989000000
Benin,BEN,Final consumption expenditure (constant 2010 US$),1256941802,1281664562,1277520818,1370748827,1447540621,1538271618,1660064478,1725792747,1780076560,1789522010,1844190429,1860153806,1948388641,2028297150,2015033174,1968664686,1937561251,2097974032,2148015688,2266951819,2422675432,2643502897,2296543227,2352284769,2520129102,2812646639,2764379068,2708370328,2894217930,2700964558,2752451308,2946071299,3087017984,3225386460,3099504579,3224805792,3392024197,3556877797,3749306632,3930771683,4213597660,4377933505,4620672167,4796303333,4934504907,5165948248,5400049311,5610895301,6001801996,6192050637,6293044095,6435675206,6636111783,6896790072,7183824110,7388025794,7322413268
Burkina Faso,BFA,Final consumption expenditure (constant 2010 US$),,,,,,1452283925,1460416124,1652124180,1718813684,1756301083,1682896024,1717638458,1674321687,1672369730,1773597830,1949035946,2059314466,2242858284,2231385713,2305664485,2425267228,2539816464,2723510260,2716250735,2580181834,2691550720,3035669835,2960686378,3116043122,3065434961,3024983692,3189969811,3193502417,3337888650,2942036544,3310185106,3791376030,3870564739,4318944578,4725673675,4758312057,4989028584,5018593129,5396358667,5640454330,6076340082,6327040908,6555460527,7229918798,7105318884,7496699827,7145002551,6100083811,9367953760,9564555210,10260811144,10418216586
Bangladesh,BGD,Final consumption expenditure (constant 2010 US$),26430397055,28795724898,28293543002,29683100976,32827593634,32985713790,33593199460,32603161955,33070697447,34702327114,38148116756,37572382484,35979175939,31565727352,30558231470,29235544804,31639932386,28874117785,32305816779,33655336972,34698851708,33992190403,32975394982,33837133483,36211763879,36695818355,37840172036,38861773825,40305176797,40663698852,43617471772,43529998252,45397991540,47142828410,48860480367,50650882220,50581651387,51219387990,52124699624,54168353270,56823074643,59222044725,60129048342,62733151223,66631721835,71253232482,76328617577,81771505414,84983010060,87144800377,91289473950,97231275211,101161000000,106395000000,110944000000,117633000000,121631000000
Bulgaria,BGR,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,27345612833,29036258698,30505725125,31709802897,32832527142,33667084337,34669074794,36639658386,38406285908,37278298430,39410136050,30785288074,29831525450,28768867064,27479374035,26682472181,25801950589,21622248680,22262741099,24103869771,25806178692,27536203195,28833874171,30745556992,33349494450,35378920671,38145390280,41979363138,43088448423,40685429335,40630644375,41444596589,42265459591,41475274807,42381736835,44003695682,44798599567
Bahrain,BHR,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8749787234,9271170213,11182712766,12486968085,13913829787,15226223404,15934840426,17250000000,17348404255,17601063830,
"Bahamas, The",BHS,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5061905710,4955979729,4820955426,4578641533,4546284928,4737356268,4963547208,5283945035,5438834195,5945695602,6349607795,6509308617,6578599416,6767898558,6628386055,6510833957,6994276913,7188152074,7263050739,7102923719,6532042908,6587000000,6534286055,6702522050,6625133492,6880852205,6598215733,6470356377
Bosnia and Herzegovina,BIH,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17355237895,18261367983,19203216903,18549713618,18633081195,18576945216,18524028984,18476305275,18721006569,19009305682,
Belarus,BLR,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18333049532,17131253046,15449137980,14448747157,12854730968,11687579040,12081485844,13266172218,14787936074,16004309356,17169764319,19528232204,21135159926,22341217011,24012864792,26890077491,29729079682,33081417612,37769956019,37766437076,41016078509,41676645219,45607304251,49959330702,51820644559,50681344948,48909962855
Belize,BLZ,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,529662389,436744498.7,492774524,459165908.1,398008138.3,392418581.2,364054734.7,436123395.3,516096838.4,561723475.1,561676167.2,655578685.1,692133340.4,734158287.1,698414527.1,714474326.4,731032104,750017525.6,794586581,848056998,901216178.6,983818324.5,1058888549,1100630208,1096882486,1084667204,1061981119,1109026807,1098222919,1142028698,1203378750,1246549171,1291687416,1344553661,1363717421,1424473135,1525137389
Bermuda,BMU,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4051877000,,,,,,
Bolivia,BOL,Final consumption expenditure (constant 2010 US$),2946628572,3173222909,3210236286,3397691710,3440181627,3746108821,4011045780,4240491189,4393954690,4666389892,5060468462,5276385613,5400440784,5875445914,6114236348,6432886595,6916783184,7249944227,7113699518,7357485511,7377232217,7512817882,7227500851,6796694219,6842248593,6969703320,7091509388,7241949135,7334388193,7456157818,7672662699,7927832071,8211148535,8475522938,8726385566,9026035780,9312694277,9792174852,10287636863,10577885090,10818371378,10978410012,11223603797,11460681277,11797932822,12191159764,12674117545,13196016610,13890910760,14403885232,14959204469,15778326302,16510995360,17565181436,18549127050,19617550269,20231697378
Brazil,BRA,Final consumption expenditure (constant 2010 US$),204616000000,222789000000,234278000000,237666000000,241776000000,239408000000,249838000000,272326000000,300086000000,296487000000,341437000000,382221000000,423473000000,465423000000,507710000000,504448000000,579693000000,622070000000,638699000000,702578000000,751827000000,733078000000,763653000000,781395000000,825563000000,852866000000,892170000000,906911000000,912603000000,930871000000,921981000000,969624000000,972055000000,1010450000000,1067020000000,1139860000000,1163240000000,1193880000000,1195710000000,1203820000000,1240650000000,1235880000000,1259340000000,1258840000000,1308080000000,1358360000000,1424620000000,1507800000000,1590010000000,1655550000000,1750300000000,1824790000000,1883930000000,1941600000000,1979540000000,1913150000000,1846580000000
Barbados,BRB,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,2547575475,2617809642,2671131875,2775004141,2609097107,2719417372,2078923224,2152445540,3050479405,3314738288,3413731056,3405274033,3781041781,3953205055,4008601147,3983570531,3984229439,3942030725,4323318991,4561846720,4583877849,4596553379,4424558412,4231997384,3962982300,3846028970,3639437264,3775327126,3683887526,3558652115,
Brunei Darussalam,BRN,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2503413421,2591747121,2567314411,2926913825,3248924459,3148061166,3104207627,3307813568,3559031977,3304054712,3284007334,3282577118,3505778144,3481557682,3702267620,4014390979,3982951962,4295271067,4660759443,4683062120,4917804107,5053171984,5322332233,5520352035,5776310964,5761642831,5746974697,5504504789
Bhutan,BTN,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526722335.1,452248833.3,504277012.5,567059116,644160453.4,781115256.8,762336866.9,951377485.2,874988913.2,994371563.2,1055546978,1109866829,1088985341,1489226453,1420893270,1534857226,1521701889
Botswana,BWA,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,811954645.9,917388550.2,1009085145,1108971271,1231286238,1298916086,1328953272,1329825061,1318782359,1447701806,1670642591,1840139946,2047679088,2308503173,2712168928,3139945525,3365395200,3481262640,3576589115,3703284809,4143652065,4303504874,4827551080,5005633210,5042859207,5012801414,4845387367,5089948501,5155582743,5394078212,5617079805,6169374029,6878149279,7825761009,8206108262,8810355379,9441127428,9694187580,10786549310,11178896013,11571356741,
Central African Republic,CAF,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1845676762,1929596344,1994690204,2032100736,2081918251,1412601841,1587806111,1641555119,1690241828
Canada,CAN,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,402871000000,425025000000,449839000000,477613000000,503250000000,526461000000,548542000000,566856000000,581769000000,593030000000,606001000000,612463000000,603306000000,615912000000,636770000000,666516000000,686104000000,708172000000,735242000000,758562000000,773149000000,772219000000,782391000000,792037000000,805498000000,816063000000,829092000000,857407000000,879096000000,909699000000,945160000000,970590000000,1004870000000,1032860000000,1061060000000,1094720000000,1136310000000,1180110000000,1217590000000,1226630000000,1265960000000,1291550000000,1311950000000,1333930000000,1362760000000,1387310000000,1417150000000
Switzerland,CHE,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,196103000000,205797000000,216091000000,221932000000,221660000000,216523000000,219474000000,225104000000,230019000000,232861000000,238305000000,241024000000,241758000000,245258000000,249213000000,255591000000,262903000000,270507000000,277247000000,286883000000,292815000000,298175000000,299787000000,298267000000,302341000000,304812000000,308344000000,312832000000,318761000000,324552000000,330746000000,337856000000,339682000000,342217000000,347846000000,352765000000,357220000000,364278000000,367807000000,373757000000,378975000000,382849000000,392528000000,401238000000,406294000000,411334000000,
Channel Islands,CHI,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Final consumption expenditure (constant 2010 US$),23509903427,24674379653,25719735776,26666787598,26636705407,26911205396,29922378956,30871445210,32074195652,33830377824,33912432370,38341632049,41195814177,38939649882,33363432392,29621154164,29676618203,33768064715,36267169557,38780912609,40479482013,44901698326,39032448069,37054275446,37205895058,37043128920,38690340998,40875567649,43539894443,47555454992,48508784401,52463082061,59138750875,63307251195,68014882331,74259637903,80828683778,86689108937,90499505574,90022888945,93487678461,95458996841,97523361099,101349000000,109374000000,117487000000,126060000000,134980000000,139774000000,140588000000,153924000000,165024000000,174371000000,181861000000,187237000000,191784000000,197238000000
China,CHN,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298858000000,345581000000,417889000000,500319000000,553879000000,621312000000,711915000000,775399000000,865317000000,994686000000,1131430000000,1222850000000,1345890000000,1439860000000,1565220000000,1763890000000,1954590000000,2214010000000,2410150000000,2675950000000,2939280000000,3299400000000,3587620000000,3850410000000,4127000000000,4472130000000,4855850000000
Cote d'Ivoire,CIV,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18155877240,18867331630,19722741012,18441726944,21221198790,22451907647,23310643733,25788784155,28186044941
Cameroon,CMR,Final consumption expenditure (constant 2010 US$),4037008037,4097727451,4233010158,4362495652,4481856221,4526863776,4669103419,4099897650,4520702614,4659680541,4690143339,5060748521,5068461131,5098210770,5612620168,6401299749,6078059654,7009773414,7818441116,8391838768,7367468681,8630801928,9777066957,9854368067,9999569723,10601935603,13207508906,13763103852,12112509896,10665819711,10668865729,10610591507,9434454332,10622668802,10662964764,10879927650,11417993678,12081123741,12628470302,13203148661,13764191528,14292837348,14888936364,15735336679,16250584888,16712763863,17324098168,18215511007,18865293530,19483534417,20462704709,21557332377,22731072267,24010809442,25426384725,26901414807,27999092316
"Congo, Dem. Rep.",COD,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13969938105,12864564563,13136506962,12526679485,11945729711,12251518008,11507929060,11599376629,11304967356,10471215411,12714785237,13577243873,14163569681,14954081493,16057411241,16429693234,16458808947,17591272728,18747181309,20095148436,21575265082,24143272326,23967519982,24303121012
"Congo, Rep.",COG,Final consumption expenditure (constant 2010 US$),833314016.2,829706583.5,781006388.6,728698810.3,750343308.7,757558163.7,720702918,703589923.9,789678027.8,870966042.9,933342721.9,936288300.8,942959256.8,942161837.8,932219960.7,956713830.4,1075282080,969394955.8,1073448498,997427897.8,1178505730,1358997826,1925380946,1741572585,1893117715,1982121148,1875726526,1811590113,1799370300,1827562512,1771117510,2196067311,1840751519,1970819074,1970637188,2024754143,1934396552,2417736467,2057654018,2362042939,2382044973,2822178619,3068115407,3126368440,3274702747,3735324664,4233781370,4804982025,5146353110,5070323539,5890475898,5580577267,5388124726,5983326979,6006275283,6092665633,5536493995
Colombia,COL,Final consumption expenditure (constant 2010 US$),26587887899,28371126968,30591017737,32104080145,34972883280,34523897244,37877213419,38148696702,40577119441,43751933769,47528433830,51803338566,54804033030,58102664896,59825045435,61539632013,65566442686,68284733546,74070515481,78016466493,82313958661,84799228960,86438417544,86705235798,89330996001,91340730838,94050767003,98035354978,102409000000,106099000000,108963000000,111506000000,116033000000,125544000000,131781000000,139385000000,146666000000,154407000000,154206000000,149264000000,157849000000,160493000000,162919000000,167372000000,174618000000,182080000000,193489000000,207073000000,214219000000,217621000000,228761000000,241327000000,252822000000,264360000000,275910000000,285756000000,291553000000
Comoros,COM,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440684088.3,469340674,477639302.5,505021920.5,523767434.8,557827074,570386513,550676503.8,583499983.6,611581654.5,625449645.2,648003456.1,674273134.5,701661358.1,706083304,,
Cabo Verde,CPV,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255091881,1281407770,1362647433,1355587587,1396915346,1413246045,1439096305,,,
Costa Rica,CRI,Final consumption expenditure (constant 2010 US$),3803479358,3716880056,3965236311,4244714526,4520330699,5020821412,5362866816,5589874496,5942432827,6360349357,6844355934,7281492237,7377298983,8071204599,8493650434,8403293726,8865357050,10320149399,10626665035,10669619537,11578155654,10096039481,9496916056,10507685596,11219242685,11605511640,12238119161,12636176377,13030686634,13595819428,14038871907,14409983717,15654381752,17030256319,17831559468,18150258445,18424562434,19317369761,20139836531,20454746835,20671760083,21235846501,22016176705,22806711361,23325434499,24285831402,25445394692,27168574568,28725358401,29232500318,30619091267,32198755987,33787694571,34797290369,36173993953,37708043033,39255574824
Cuba,CUB,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,17947995403,19487235443,20427525653,21130615969,21342756532,23360973795,24618613779,26769984346,28550041796,28883767489,27426207721,32773183606,35829252983,37830822078,40923791676,40897931792,40966569063,41210073195,42374547909,42891029496,40850530955,36641282791,31542961160,29081612499,29917107755,30138852623,31328572827,32090644386,32498841997,34160372542,34985569651,36256905822,37279230215,39714603809,41186532905,42675296380,49071209591,51233636020,51085004275,51691617478,54729000000,55016767174,56088699897,58176450745,59815284802,62875976465,
Curacao,CUW,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,2708134652,3151723179,3578634673,3869774524,4085698769,4343127146,4473359869,4907757288,5252824341,5481588581,5780588555,5904197389,6518390430,7169915047,7596261945,8429848215,9113334896,9643239360,8946231749,9504896598,11381130224,11831188222,12331319296,13287205304,13725269751,14401706023,14893591530,15322211056,16079004119,17022596737,17588242582,18463771799,20076004881,21568452374,20749742604,21341324503,21328731275,20997859189,19652632534,19421606760,19687713671,20090247223
Czech Republic,CZE,Final consumption expenditure (constant 2010 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108385000000,88338965549,91385143864,93199671855,97054262537,100004000000,105341000000,108421000000,107180000000,110337000000,111441000000,114741000000,119782000000,125914000000,128376000000,131542000000,135187000000,139276000000,142594000000,143166000000,144346000000,143669000000,141612000000,143161000000,145431000000,149399000000,152975000000
